Client,Company Code,Accounting Document Number,Fiscal Year,Document Type,Document Date in Document,Month,Posting Date in the Document,Day On Which Accounting Document Was Entered,Invoice Document Number,Fiscal Year of Invoice,Date of the Last Document Change by Transaction,Reference Document Number,Accounting Document Key
100,CompanyCode1,1000000000,2022,Documenttype1,2022-02-15,2,2022-02-17,2022-02-17,1000031580,2022,,54719,10000315802022
100,CompanyCode1,1000000001,2022,Documenttype1,2022-02-15,2,2022-02-17,2022-02-17,1000031582,2022,,54692,10000315822022
100,CompanyCode1,1000000002,2022,Documenttype1,2022-02-15,2,2022-02-17,2022-02-17,1000031583,2022,,54706,10000315832022
100,CompanyCode1,1000000003,2022,Documenttype1,2022-02-15,2,2022-02-17,2022-02-17,1000031584,2022,,54697,10000315842022
100,CompanyCode1,1000000004,2022,Documenttype1,2022-02-15,2,2022-02-17,2022-02-17,1000031585,2022,,54694,10000315852022
100,CompanyCode1,1000000005,2022,Documenttype1,2022-02-15,2,2022-02-17,2022-02-17,1000031586,2022,,54691,10000315862022
100,CompanyCode1,1000000006,2022,Documenttype1,2022-02-15,2,2022-02-17,2022-02-17,1000031587,2022,,54689,10000315872022
100,CompanyCode1,1000000007,2022,Documenttype1,2022-02-11,2,2022-02-17,2022-02-17,1000031588,2022,,47-SI0107705,10000315882022
100,CompanyCode1,1000000008,2022,Documenttype1,2022-02-15,2,2022-02-17,2022-02-17,1000031622,2022,,54698,10000316222022
100,CompanyCode1,1000000009,2022,Documenttype1,2022-02-15,2,2022-02-17,2022-02-17,1000031623,2022,,54708,10000316232022
100,CompanyCode1,1000000010,2022,Documenttype1,2022-01-28,2,2022-02-17,2022-02-17,1000070883,2022,,C0RPB0590725,10000708832022
100,CompanyCode1,1000000011,2022,Documenttype1,2022-02-08,2,2022-02-17,2022-02-17,1000070904,2022,,BY7773CU,10000709042022
100,CompanyCode1,1000000012,2022,Documenttype1,2022-02-17,2,2022-02-17,2022-02-17,1000070939,2022,,INV120678,10000709392022
100,CompanyCode1,1000000013,2022,Documenttype1,2022-02-17,2,2022-02-17,2022-02-17,1000070940,2022,,INV120777,10000709402022
100,CompanyCode1,1000000014,2022,Documenttype1,2022-02-17,2,2022-02-17,2022-02-17,1000070948,2022,,INV120682,10000709482022
100,CompanyCode1,1000000015,2022,Documenttype1,2022-02-09,2,2022-02-17,2022-02-17,1000070958,2022,,53430,10000709582022
100,CompanyCode1,1000000016,2022,Documenttype1,2022-02-08,2,2022-02-17,2022-02-17,1000070994,2022,,BY8334CU,10000709942022
100,CompanyCode1,1000000017,2022,Documenttype1,2022-02-18,2,2022-02-18,2022-02-18,1000051625,2022,,36CLIF,10000516252022
100,CompanyCode1,1000000018,2022,Documenttype1,2022-01-25,2,2022-02-18,2022-02-18,1000051635,2022,,TM220201,10000516352022
100,CompanyCode1,1000000019,2022,Documenttype1,2022-02-14,2,2022-02-18,2022-02-18,1000051672,2022,,135045,10000516722022
100,CompanyCode1,1000000020,2022,Documenttype1,2022-01-31,2,2022-02-18,2022-02-18,1000031751,2022,,INV722734,10000317512022
100,CompanyCode1,1000000021,2022,Documenttype1,2022-01-31,2,2022-02-18,2022-02-18,1000031752,2022,,INV722733,10000317522022
100,CompanyCode1,1000000022,2022,Documenttype1,2022-01-31,2,2022-02-18,2022-02-18,1000031753,2022,,INV722730,10000317532022
