Client,Purchasing Document Number,Item Number of Purchasing Document,Confirmation Category,Sequential Number of Vendor Confirmation,Delivery Date of Vendor Confirmation,Creation Date of Confirmation,Time at Which Vendor Confirmation was Created
100,4000000000,30,Confirmation Category1,1,2022-04-01,2022-03-22,1970-01-01 14:57:03
100,4000000000,30,Confirmation Category1,2,2022-04-01,2022-03-22,1970-01-01 14:57:03
100,4000000000,30,Confirmation Category1,3,2022-04-01,2022-03-22,1970-01-01 14:57:03
100,4000000000,30,Confirmation Category1,4,2022-04-01,2022-03-22,1970-01-01 14:57:03
100,4000000000,30,Confirmation Category1,5,2022-04-01,2022-03-22,1970-01-01 14:57:03
100,4000000000,30,Confirmation Category1,6,2022-04-01,2022-03-22,1970-01-01 14:57:03
100,4000000000,30,Confirmation Category1,7,2022-04-01,2022-03-22,1970-01-01 14:57:03
100,4000000000,30,Confirmation Category1,8,2022-04-01,2022-03-22,1970-01-01 14:57:03
100,4000000000,30,Confirmation Category1,9,2022-04-01,2022-03-22,1970-01-01 14:57:03
100,4000000000,40,Confirmation Category1,1,2022-04-01,2022-03-22,1970-01-01 14:57:03
100,4000000001,30,Confirmation Category1,1,2022-04-29,2022-03-24,1970-01-01 14:33:26
100,4000000085,10,Confirmation Category1,190,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,191,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,192,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,193,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,194,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,195,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,196,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,197,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,198,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,199,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,200,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,201,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,202,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,203,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,204,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,205,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,206,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,207,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,208,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,209,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,210,2022-02-10,2022-03-16,1970-01-01 01:47:03
100,4000000085,10,Confirmation Category1,211,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,212,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,213,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,214,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,215,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,216,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,217,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,218,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,219,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,220,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,221,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,222,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,223,2022-02-10,2022-03-11,1970-01-01 07:26:53
100,4000000085,10,Confirmation Category1,224,2022-02-10,2022-03-11,1970-01-01 07:26:53
100,4000000085,10,Confirmation Category1,225,2022-02-10,2022-03-11,1970-01-01 07:26:53
100,4000000085,10,Confirmation Category1,226,2022-02-10,2022-03-11,1970-01-01 07:26:53
100,4000000085,10,Confirmation Category1,227,2022-02-10,2022-03-11,1970-01-01 07:26:53
100,4000000085,10,Confirmation Category1,228,2022-02-10,2022-03-11,1970-01-01 07:26:53
100,4000000085,10,Confirmation Category1,229,2022-02-10,2022-03-11,1970-01-01 07:26:53
100,4000000085,10,Confirmation Category1,230,2022-02-10,2022-03-11,1970-01-01 07:26:53
100,4000000085,10,Confirmation Category1,231,2022-02-10,2022-03-11,1970-01-01 07:26:53
100,4000000085,10,Confirmation Category1,232,2022-02-10,2022-03-11,1970-01-01 07:26:53
100,4000000085,10,Confirmation Category1,233,2022-02-10,2022-03-11,1970-01-01 07:26:53
100,4000000085,10,Confirmation Category1,234,2022-02-10,2022-03-11,1970-01-01 07:27:42
100,4000000085,10,Confirmation Category1,235,2022-02-10,2022-03-11,1970-01-01 07:27:42
100,4000000085,10,Confirmation Category1,236,2022-02-10,2022-03-11,1970-01-01 07:27:42
100,4000000085,10,Confirmation Category1,237,2022-02-10,2022-03-11,1970-01-01 07:27:42
100,4000000085,10,Confirmation Category1,238,2022-02-10,2022-03-11,1970-01-01 07:27:42
100,4000000085,10,Confirmation Category1,239,2022-02-10,2022-03-11,1970-01-01 07:27:42
100,4000000085,10,Confirmation Category1,240,2022-02-10,2022-03-11,1970-01-01 07:27:42
100,4000000085,10,Confirmation Category1,241,2022-02-10,2022-03-11,1970-01-01 07:27:42
100,4000000085,10,Confirmation Category1,242,2022-02-10,2022-03-11,1970-01-01 07:27:42
100,4000000085,10,Confirmation Category1,243,2022-02-10,2022-03-11,1970-01-01 07:27:42
