Client,Accounting Document Number,Fiscal Year,Document Item in Invoice Document,Purchasing Document Number,Item Number of Purchasing Document,Due Date for Retention
100,1000027180,2022,1,4000018156,10,
100,1000027181,2021,19,4000031337,190,
100,1000027181,2021,20,4000031337,200,
100,1000027181,2021,21,4000031337,210,
100,1000027182,2022,2,4000039841,10,
100,1000027183,2022,2,4000039851,10,
100,1000027184,2022,2,4000039854,10,
100,1000027185,2022,2,4000039848,10,
100,1000027186,2022,2,4000039844,10,
100,1000027187,2022,2,4000039843,10,
100,1000027188,2022,2,4000039845,10,
100,1000027189,2022,2,4000039856,10,
100,1000027190,2022,2,4000039855,10,
100,1000027191,2022,2,4000039846,10,
100,1000027192,2022,2,4000039875,10,
100,1000027193,2022,2,4000039873,10,
100,1000027194,2022,2,4000039860,10,
100,1000027195,2022,2,4000039849,10,
100,1000027196,2022,2,4000039881,10,
100,1000027197,2022,2,4000039847,10,
100,1000027198,2022,2,4000039839,10,
100,1000027199,2022,2,4000039867,10,
100,1000027200,2022,2,4000039868,10,
100,1000027201,2022,2,4000039874,10,
100,1000027202,2022,2,4000039850,10,
100,1000027203,2022,2,4000039888,10,
100,1000027204,2022,2,4000039858,10,
100,1000027205,2022,2,4000039877,10,
100,1000027206,2022,2,4000039853,10,
100,1000027207,2022,2,4000039878,10,
100,1000027208,2022,2,4000039863,10,
100,1000027209,2022,2,4000039864,10,
100,1000027210,2022,2,4000039882,10,
100,1000027211,2022,2,4000039892,10,
100,1000027212,2022,2,4000039842,10,
100,1000027213,2022,2,4000039872,10,
100,1000027214,2022,2,4000039889,10,
100,1000027215,2022,2,4000039870,10,
100,1000027216,2022,2,4000039886,10,
100,1000027217,2022,2,4000039897,10,
100,1000027218,2022,2,4000039840,10,
100,1000027219,2022,2,4000039903,10,
100,1000027220,2022,2,4000039859,10,
100,1000027221,2022,2,4000039905,10,
100,1000027222,2022,2,4000039907,10,
100,1000027223,2022,2,4000039899,10,
100,1000027224,2022,2,4000039861,10,
100,1000027225,2022,2,4000039890,10,
100,1000027226,2022,2,4000039887,10,
100,1000027227,2022,2,4000039876,10,
100,1000027228,2022,2,4000039862,10,
100,1000027229,2022,2,4000039904,10,
100,1000027230,2022,2,4000039885,10,
100,1000027231,2022,2,4000039880,10,
100,1000027232,2022,2,4000039906,10,
100,1000027233,2022,2,4000039879,10,
100,1000027234,2022,2,4000039896,10,
100,1000027235,2022,2,4000039901,10,
100,1000027236,2022,2,4000039891,10,
100,1000027237,2022,2,4000039852,10,
100,1000027238,2022,2,4000039857,10,
100,1000027239,2022,2,4000039869,10,
100,1000027240,2022,2,4000039900,10,
100,1000027241,2022,2,4000039893,10,
100,1000027242,2022,2,4000039883,10,
100,1000027243,2022,2,4000039894,10,
100,1000027244,2022,2,4000039902,10,
100,1000027245,2022,2,4000039895,10,
100,1000027246,2022,2,4000039909,10,
100,1000027247,2022,2,4000039908,10,
100,1000027248,2022,2,4000039871,10,
100,1000027249,2022,2,4000039918,10,
100,1000027250,2022,2,4000039933,10,
100,1000027251,2022,2,4000039930,10,
100,1000027252,2022,2,4000039940,10,
100,1000027253,2022,2,4000039929,10,
100,1000027254,2022,2,4000039941,10,
100,1000027255,2022,2,4000039915,10,
100,1000027256,2022,2,4000039939,10,
100,1000027257,2022,1,4000001986,10,
100,1000027258,2022,1,4000001987,10,
100,1000027259,2022,1,4000001991,10,
100,1000027260,2022,1,4000001992,10,
100,1000027261,2022,1,4000001990,10,
100,1000027262,2022,1,4000001993,10,
100,1000027263,2022,1,4000001994,10,
100,1000027264,2022,1,4000001994,10,
100,1000027265,2022,1,4000001995,10,
100,1000027266,2022,1,4000001996,10,
100,1000027267,2022,1,4000001997,10,
100,1000027268,2021,1,4000001998,10,
100,1000027268,2021,2,4000001999,10,
100,1000027269,2022,1,4000002000,10,
100,1000027270,2022,1,4000039682,10,
100,1000027271,2021,1,4000039682,10,
100,1000027272,2022,1,4000002002,10,
100,1000027273,2022,1,4000002003,10,
100,1000027274,2022,5,4000039964,10,
100,1000027274,2022,6,4000039965,10,
100,1000027274,2022,7,4000039966,10,
100,1000027274,2022,8,4000001968,10,
100,1000027274,2022,9,4000001969,10,
100,1000027274,2022,10,4000002039,10,
100,1000027274,2022,11,4000002042,10,
100,1000027274,2022,12,4000002043,10,
100,1000027274,2022,13,4000002044,10,
100,1000027274,2022,14,4000002045,10,
100,1000027274,2022,15,4000002048,10,
100,1000027274,2022,16,4000002050,10,
100,1000027274,2022,17,4000002056,10,
100,1000027274,2022,18,4000002057,10,
100,1000027274,2022,19,4000002060,10,
100,1000027274,2022,20,4000002061,10,
