Client,Material Number,Created On,Date of Last Change,Date from which the cross-plant material status is valid,Date from which the X-distr.-chain material status is valid,Product hierarchy,Deletion date
100,MAT2409,2019-06-01,2022-06-30,,,,
100,MAT2410,2019-06-01,2022-06-30,,,,
100,MAT2411,2019-06-01,2022-07-01,,,,
100,MAT2412,2019-06-01,2022-07-01,,,,
100,MAT2413,2019-06-01,2022-07-01,,,,
100,MAT2414,2019-06-01,2022-07-03,,,,
100,MAT2415,2019-06-01,2022-07-01,,,,
100,MAT2416,2019-06-01,2022-07-01,,,,
100,MAT2417,2019-06-01,2022-07-01,,,,
100,MAT2418,2019-06-01,2022-07-01,,,,
100,MAT2419,2019-06-01,2022-07-01,,,,
100,MAT2420,2019-06-01,2022-07-01,,,,
100,MAT2421,2019-06-01,2022-07-01,,,,
100,MAT2422,2019-06-01,2022-07-01,,,,
100,MAT2423,2019-06-01,2022-06-30,,,,
100,MAT2424,2019-06-01,2022-07-01,,,,
100,MAT2425,2019-06-01,2022-05-31,,,,
100,MAT2426,2019-06-01,2022-07-01,,,,
100,MAT2427,2019-06-01,2022-07-01,,,,
100,MAT2428,2019-06-01,2022-07-01,,,,
100,MAT2429,2019-06-01,2022-07-01,,,,
100,MAT2430,2019-06-01,2022-07-01,,,,
100,MAT2431,2019-06-01,2022-07-01,,,,
100,MAT2432,2019-06-01,2022-07-01,,,,
100,MAT2433,2019-06-01,2022-07-01,,,,
100,MAT2434,2019-06-01,2022-07-12,,,,
100,MAT2435,2019-06-01,2022-07-01,,,,
100,MAT2436,2019-06-01,2022-07-01,,,,
100,MAT2437,2019-06-01,2022-06-30,,,,
100,MAT2438,2019-06-01,2022-07-01,,,,
100,MAT2439,2019-06-01,2022-07-01,,,,
100,MAT4941,2019-06-01,2022-07-01,,,,
100,MAT4942,2019-06-01,2022-07-01,,,,
100,MAT4943,2019-06-01,2022-07-01,,,,
100,MAT4944,2019-06-01,2022-07-01,,,,
100,MAT4945,2019-06-01,2022-07-01,,,,
100,MAT4946,2019-06-01,2022-07-01,,,,
100,MAT4947,2019-06-01,2022-07-01,,,,
100,MAT4948,2019-06-01,2022-07-01,,,,
100,MAT4949,2019-06-01,2022-07-13,,,,
100,MAT4950,2019-06-01,2022-07-01,,,,
100,MAT4951,2019-06-01,2022-07-01,,,,
100,MAT4952,2019-06-01,2022-07-01,,,,
100,MAT4953,2019-06-01,2022-07-01,,,,
100,MAT4954,2019-06-01,2022-07-12,,,,
100,MAT4955,2019-06-01,2022-07-01,,,,
100,MAT4956,2019-06-01,2022-07-14,,,,
100,MAT4957,2019-06-01,2022-07-01,,,,
100,MAT4958,2019-06-01,2022-07-01,,,,
100,MAT4959,2019-06-01,2022-07-13,,,,
100,MAT4960,2019-06-01,2022-07-08,,,,
100,MAT4961,2019-06-01,2022-07-01,,,,
100,MAT4962,2019-06-01,2022-07-01,,,,
100,MAT4963,2019-06-01,2022-07-01,,,,
100,MAT4964,2019-06-01,2022-07-13,,,,
100,MAT4965,2019-06-01,2022-07-01,,,,
100,MAT4966,2019-06-01,2022-07-06,,,,
100,MAT4967,2019-06-01,2022-07-01,,,,
100,MAT4968,2019-06-01,2022-07-01,,,,
100,MAT4969,2019-06-01,2022-07-01,,,,
100,MAT4970,2019-06-01,2022-07-01,,,,
100,MAT4971,2019-06-01,2022-07-01,,,,
100,MAT4972,2019-06-01,2022-07-01,,,,
100,MAT4973,2019-06-01,2022-07-20,,,,
100,MAT4974,2019-06-01,2022-07-01,,,,
100,MAT4975,2019-06-01,2022-07-01,,,,
100,MAT4976,2019-08-07,2022-07-01,,,,
100,MAT4977,2019-09-16,2022-07-01,,,,
100,MAT4978,2019-10-22,2022-07-01,,,,
100,MAT4979,2019-10-10,2022-07-01,,,,
100,MAT4980,2019-12-05,2022-07-01,,,,
100,MAT4981,2019-12-05,2022-07-01,,,,
100,MAT4982,2019-12-05,2022-07-01,,,,
100,MAT4983,2019-12-05,2022-07-01,,,,
100,MAT4984,2019-12-05,2022-07-19,,,,
100,MAT4985,2019-11-05,2022-07-02,,,,
100,MAT44,2019-12-04,2022-06-30,,,,
100,MAT45,2019-12-04,2022-07-01,,,,
100,MAT46,2019-12-04,2022-07-01,,,,
100,MAT47,2019-12-04,2022-07-01,,,,
100,MAT48,2019-12-04,2022-07-01,,,,
100,MAT49,2019-12-04,2022-07-01,,,,
100,MAT50,2019-12-04,2022-07-01,,,,
100,MAT51,2019-12-04,2022-07-01,,,,
100,MAT52,2019-12-04,2022-07-01,,,,
