Client,Material Number,Plant
100,MAT1,Plant10
100,MAT1,Plant9
100,MAT1,Plant132
100,MAT1,Plant59
100,MAT1,Plant64
100,MAT1,Plant44
100,MAT1,Plant113
100,MAT1,Plant111
100,MAT1,Plant45
100,MAT1,Plant73
100,MAT2,Plant3
100,MAT2,Plant59
100,MAT2,Plant35
100,MAT2,Plant53
100,MAT3,Plant59
100,MAT4,Plant53
100,MAT5,Plant63
100,MAT6,Plant1
100,MAT6,Plant35
100,MAT7,Plant63
100,MAT8,Plant63
100,MAT9,Plant5
100,MAT9,Plant59
100,MAT10,Plant45
100,MAT11,Plant63
100,MAT12,Plant1
100,MAT13,Plant35
100,MAT14,Plant3
100,MAT14,Plant63
100,MAT14,Plant35
100,MAT15,Plant35
100,MAT16,Plant63
100,MAT17,Plant1
100,MAT17,Plant5
100,MAT17,Plant63
100,MAT17,Plant35
100,MAT17,Plant39
100,MAT17,Plant45
100,MAT17,Plant50
100,MAT17,Plant73
100,MAT18,Plant59
100,MAT19,Plant59
100,MAT20,Plant2
100,MAT20,Plant59
100,MAT21,Plant59
100,MAT22,Plant59
100,MAT22,Plant35
100,MAT23,Plant71
100,MAT23,Plant91
100,MAT24,Plant1
100,MAT24,Plant5
100,MAT24,Plant101
100,MAT24,Plant63
100,MAT24,Plant35
100,MAT24,Plant45
100,MAT25,Plant47
100,MAT25,Plant50
100,MAT26,Plant61
100,MAT26,Plant50
100,MAT27,Plant50
100,MAT28,Plant55
100,MAT28,Plant50
100,MAT29,Plant22
100,MAT30,Plant22
100,MAT31,Plant50
100,MAT32,Plant3
100,MAT33,Plant61
100,MAT33,Plant50
100,MAT34,Plant50
100,MAT35,Plant61
100,MAT36,Plant50
100,MAT37,Plant1
100,MAT38,Plant72
100,MAT39,Plant3
100,MAT39,Plant99
100,MAT39,Plant61
100,MAT40,Plant22
100,MAT41,Plant62
100,MAT42,Plant50
100,MAT43,Plant50
100,MAT44,Plant39
100,MAT45,Plant15
100,MAT46,Plant15
100,MAT47,Plant15
100,MAT48,Plant15
100,MAT48,Plant65
100,MAT49,Plant15
100,MAT50,Plant15
100,MAT51,Plant15
100,MAT52,Plant15
100,MAT53,Plant33
100,MAT53,Plant115
100,MAT54,Plant96
100,MAT55,Plant13
100,MAT56,Plant68
100,MAT56,Plant105
100,MAT57,Plant92
100,MAT57,Plant49
100,MAT58,Plant13
100,MAT58,Plant34
100,MAT58,Plant92
100,MAT59,Plant92
100,MAT59,Plant48
100,MAT60,Plant65
100,MAT61,Plant33
100,MAT62,Plant15
100,MAT63,Plant57
100,MAT63,Plant65
100,MAT63,Plant44
100,MAT63,Plant39
100,MAT63,Plant38
100,MAT64,Plant13
100,MAT64,Plant68
100,MAT64,Plant92
100,MAT64,Plant57
100,MAT64,Plant49
100,MAT64,Plant134
100,MAT64,Plant39
100,MAT64,Plant42
100,MAT64,Plant73
100,MAT65,Plant15
100,MAT66,Plant34
100,MAT67,Plant128
100,MAT68,Plant92
100,MAT69,Plant68
100,MAT69,Plant61
100,MAT69,Plant67
100,MAT69,Plant44
100,MAT69,Plant43
100,MAT70,Plant68
100,MAT70,Plant44
100,MAT71,Plant68
100,MAT71,Plant102
100,MAT71,Plant43
100,MAT72,Plant76
100,MAT73,Plant92
100,MAT74,Plant128
100,MAT74,Plant38
100,MAT75,Plant34
100,MAT75,Plant108
100,MAT76,Plant68
100,MAT77,Plant68
100,MAT78,Plant34
100,MAT78,Plant108
100,MAT79,Plant18
100,MAT79,Plant98
100,MAT80,Plant128
