Client,Number of Purchasing Info Record,Purchasing Organization,Purchasing info record category,Plant,Date on Which Record Was Created,Purchasing Group,Currency Key,Amortization period to,Amortization period from,Net Price in Purchasing Info Record,Price Valid Until,Item Number of Purchasing Document,Purchasing Document Number
100,5000000000,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,12.0,9999-12-31 00:00:00,10,4000053193
100,5000000001,Purchasing Organization1,0,Plant2,2018-12-05,Purchasing Group1,Currency Key1,,,31.85,,100,4000013361
100,5000000002,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,2335.0,9999-12-31 00:00:00,10,4000031699
100,5000000003,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,2156.74,9999-12-31 00:00:00,10,4000017831
100,5000000004,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,49.35,9999-12-31 00:00:00,100,4000054099
100,5000000005,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,0.59,2099-12-31 00:00:00,130,4000014217
100,5000000006,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,12.85,9999-12-31 00:00:00,10,4000052438
100,5000000007,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,64.53,9999-12-31 00:00:00,70,4000054099
100,5000000008,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,525.39,9999-12-31 00:00:00,10,4000054689
100,5000000009,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,1.34,9999-12-31 00:00:00,60,4000017951
100,5000000010,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,25.82,9999-12-31 00:00:00,10,4000017547
100,5000000011,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,52.43,9999-12-31 00:00:00,10,4000017546
100,5000000012,Purchasing Organization1,0,Plant2,2018-12-05,Purchasing Group1,Currency Key1,,,420.0,,120,4000015147
100,5000000013,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,21.75,9999-12-31 00:00:00,10,4000013524
100,5000000014,Purchasing Organization1,0,Plant2,2018-12-05,Purchasing Group1,Currency Key1,,,20.63,9999-12-31 00:00:00,50,4000053757
100,5000000015,Purchasing Organization1,0,,2020-04-07,Purchasing Group2,Currency Key1,,,796.0,9999-12-31 00:00:00,20,4000016494
100,5000000016,Purchasing Organization2,0,Plant1,2018-12-05,Purchasing Group2,Currency Key1,,,1863.0,2019-12-31 00:00:00,10,4000052597
100,5000000017,Purchasing Organization2,0,Plant1,2018-12-05,Purchasing Group2,Currency Key1,,,333.0,2019-12-31 00:00:00,10,4000015343
100,5000000018,Purchasing Organization2,0,Plant1,2018-12-05,Purchasing Group2,Currency Key1,,,899.0,2019-12-31 00:00:00,20,4000015343
100,5000000019,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,11.45,9999-12-31 00:00:00,10,4000031725
100,5000000020,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,23.35,9999-12-31 00:00:00,30,4000014908
100,5000000021,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,7.44,9999-12-31 00:00:00,40,4000055460
100,5000000022,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,1024.34,9999-12-31 00:00:00,10,4000015075
100,5000000023,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,12.85,9999-12-31 00:00:00,10,4000050667
100,5000000024,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,1.42,9999-12-31 00:00:00,70,4000055180
100,5000000025,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,1.09,9999-12-31 00:00:00,10,4000015466
100,5000000026,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,45.49,9999-12-31 00:00:00,40,4000034598
100,5000000027,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,468.75,9999-12-31 00:00:00,10,4000016827
100,5000000028,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,84.36,9999-12-31 00:00:00,20,4000017546
100,5000000029,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,4.4,9999-12-31 00:00:00,60,4000053489
100,5000000030,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,11.4,2099-12-31 00:00:00,30,4000036211
100,5000000031,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,39.97,9999-12-31 00:00:00,50,4000053944
100,5000000032,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,64.38,9999-12-31 00:00:00,20,4000055180
100,5000000033,Purchasing Organization1,0,Plant1,2018-12-05,Purchasing Group1,Currency Key1,,,18.83,9999-12-31 00:00:00,70,4000013036
100,5000000034,Purchasing Organization1,0,Plant2,2018-12-05,Purchasing Group1,Currency Key1,,,3.09,9999-12-31 00:00:00,10,4000050681
