Previous delivery date,Committed Date,Purchasing Document Number,Item Number of Purchasing Document,Item Delivery Date,Delivery Schedule Line Counter,Loading Date,Client,Material Staging/Availability Date,Statistics-Relevant Delivery Date
,2022-03-09 00:00:00,4000036531,30,2022-03-10,1,2022-03-09,100,2022-03-09,2022-03-10
,2022-03-09 00:00:00,4000036531,40,2022-03-10,1,2022-03-09,100,2022-03-09,2022-03-10
,2022-04-06 00:00:00,4000036652,10,2022-07-05,1,2022-07-05,100,2022-07-04,2022-07-05
,2022-04-14 00:00:00,4000036653,10,2022-05-28,1,2022-05-27,100,2022-05-27,2022-05-28
,2022-03-21 00:00:00,4000036654,10,2022-05-04,1,2022-03-21,100,2022-03-21,2022-05-04
,2022-03-21 00:00:00,4000036655,10,2022-05-04,1,2022-03-21,100,2022-03-21,2022-05-04
,9999-12-31 00:00:00,4000036656,10,2022-04-08,1,2022-03-23,100,2022-03-23,2022-04-08
,2022-06-03 00:00:00,4000036657,10,2022-06-16,1,2022-06-03,100,2022-06-03,2022-06-16
,2022-06-03 00:00:00,4000036657,20,2022-06-16,1,2022-06-03,100,2022-06-03,2022-06-16
,2022-06-03 00:00:00,4000036658,10,2022-06-16,1,2022-06-03,100,2022-06-03,2022-06-16
,2022-06-03 00:00:00,4000036658,20,2022-06-16,1,2022-06-03,100,2022-06-03,2022-06-16
,2022-05-16 00:00:00,4000036659,10,2022-06-01,1,2022-05-16,100,2022-05-16,2022-06-01
,2022-08-01 00:00:00,4000036660,10,2022-08-17,1,2022-08-01,100,2022-08-01,2022-08-17
,2022-08-01 00:00:00,4000036660,20,2022-08-17,1,2022-08-01,100,2022-08-01,2022-08-17
,9999-12-31 00:00:00,4000036661,10,2022-09-05,1,2022-07-08,100,2022-07-08,2022-06-01
,2022-04-14 00:00:00,4000036662,10,2022-06-10,1,2022-04-14,100,2022-04-14,2022-06-01
,2022-04-21 00:00:00,4000036663,10,2022-06-17,1,2022-04-21,100,2022-04-21,2022-06-05
,2022-04-21 00:00:00,4000036664,10,2022-06-17,1,2022-04-21,100,2022-04-21,2022-06-10
,2022-03-24 00:00:00,4000036665,10,2022-05-28,1,2022-04-01,100,2022-04-01,2022-05-28
,2022-03-14 00:00:00,4000036666,10,2022-03-15,1,2022-03-14,100,2022-03-14,2022-03-15
,9999-12-31 00:00:00,4000036667,10,2022-10-01,1,2022-08-05,100,2022-08-05,2022-10-01
,9999-12-31 00:00:00,4000036668,10,2022-10-01,1,2022-08-05,100,2022-08-05,2022-10-01
,2022-04-21 00:00:00,4000036669,10,2022-06-17,1,2022-04-21,100,2022-04-21,2022-06-17
,2022-04-28 00:00:00,4000036670,10,2022-06-24,1,2022-04-28,100,2022-04-28,2022-06-24
,9999-12-31 00:00:00,4000036671,10,2022-05-18,1,2022-04-19,100,2022-04-19,2022-05-18
,9999-12-31 00:00:00,4000036671,20,2022-05-18,1,2022-04-19,100,2022-04-19,2022-05-18
,2022-04-04 00:00:00,4000036672,10,2022-04-18,1,2022-04-15,100,2022-04-15,2022-04-18
,2022-04-04 00:00:00,4000036672,20,2022-04-18,1,2022-04-15,100,2022-04-15,2022-04-18
,2022-03-14 00:00:00,4000036673,10,2022-03-19,1,2022-03-15,100,2022-03-14,2022-03-19
,2022-03-14 00:00:00,4000036673,20,2022-03-19,1,2022-03-15,100,2022-03-14,2022-03-19
,2022-03-18 00:00:00,4000036674,10,2022-04-08,1,2022-03-23,100,2022-03-23,2022-04-08
,2022-03-25 00:00:00,4000036675,10,2022-04-16,1,2022-03-31,100,2022-03-31,2022-04-16
,2022-04-21 00:00:00,4000036676,10,2022-06-17,1,2022-04-21,100,2022-04-21,2022-06-01
,2022-04-28 00:00:00,4000036677,10,2022-06-24,1,2022-04-28,100,2022-04-28,2022-06-08
,2022-04-08 00:00:00,4000036678,10,2022-06-05,1,2022-04-08,100,2022-04-08,2022-06-05
,2022-04-14 00:00:00,4000036679,10,2022-06-10,1,2022-04-14,100,2022-04-14,2022-06-10
,2022-04-14 00:00:00,4000036680,10,2022-03-15,1,2022-03-14,100,2022-03-14,2022-03-15
,2022-04-21 00:00:00,4000036681,10,2022-06-17,1,2022-04-21,100,2022-04-21,2022-06-17
,2022-05-13 00:00:00,4000036682,10,2022-07-10,1,2022-05-13,100,2022-05-13,2022-07-10
,2022-04-01 00:00:00,4000036683,10,2022-05-30,1,2022-04-01,100,2022-04-01,2022-05-30
,2022-04-28 00:00:00,4000036684,10,2022-06-24,1,2022-04-28,100,2022-04-28,2022-06-24
,2022-04-28 00:00:00,4000036685,10,2022-06-24,1,2022-04-28,100,2022-04-28,2022-06-24
,2022-04-05 00:00:00,4000036686,10,2022-06-01,1,2022-04-05,100,2022-04-05,2022-06-01
,2022-04-07 00:00:00,4000036687,10,2022-06-03,1,2022-04-07,100,2022-04-07,2022-06-03
,2022-04-21 00:00:00,4000036688,10,2022-06-17,1,2022-04-21,100,2022-04-21,2022-06-17
,2022-05-09 00:00:00,4000036689,10,2022-07-05,1,2022-05-09,100,2022-05-09,2022-07-05
,2022-04-08 00:00:00,4000036690,10,2022-07-08,1,2022-06-22,100,2022-06-22,2022-07-08
,2022-06-03 00:00:00,4000036691,10,2022-06-12,1,2022-06-05,100,2022-06-03,2022-06-12
,2022-06-03 00:00:00,4000036691,20,2022-06-12,1,2022-06-05,100,2022-06-03,2022-06-12
,2022-07-25 00:00:00,4000036692,10,2022-08-02,1,2022-07-26,100,2022-07-25,2022-08-02
,2022-07-25 00:00:00,4000036692,20,2022-08-02,1,2022-07-26,100,2022-07-25,2022-08-02
,2022-03-07 00:00:00,4000036693,10,2022-04-12,1,2022-03-08,100,2022-03-07,2022-04-12
,2022-03-07 00:00:00,4000036693,20,2022-04-12,1,2022-03-08,100,2022-03-07,2022-04-12
,2022-04-19 00:00:00,4000036694,10,2022-05-13,1,2022-04-08,100,2022-04-07,2022-05-13
,2022-04-14 00:00:00,4000036695,10,2022-05-20,1,2022-04-15,100,2022-04-14,2022-05-20
,2022-04-14 00:00:00,4000036695,20,2022-05-20,1,2022-04-15,100,2022-04-14,2022-05-20
,2022-04-21 00:00:00,4000036696,10,2022-05-27,1,2022-04-22,100,2022-04-21,2022-05-27
,2022-04-21 00:00:00,4000036696,20,2022-05-27,1,2022-04-22,100,2022-04-21,2022-05-27
,2022-04-28 00:00:00,4000036697,10,2022-06-03,1,2022-04-29,100,2022-04-28,2022-06-03
,2022-04-28 00:00:00,4000036697,20,2022-06-03,1,2022-04-29,100,2022-04-28,2022-06-03
,2022-05-05 00:00:00,4000036698,10,2022-06-10,1,2022-05-06,100,2022-05-05,2022-06-10
,2022-05-05 00:00:00,4000036698,20,2022-06-10,1,2022-05-06,100,2022-05-05,2022-06-10
,2022-05-12 00:00:00,4000036699,10,2022-06-17,1,2022-05-13,100,2022-05-12,2022-06-17
,2022-05-19 00:00:00,4000036700,10,2022-06-24,1,2022-05-20,100,2022-05-19,2022-06-24
,2022-03-08 00:00:00,4000036701,10,2022-04-12,1,2022-03-09,100,2022-03-08,2022-04-12
,2022-05-25 00:00:00,4000036702,10,2022-07-01,1,2022-05-27,100,2022-05-25,2022-07-01
,2022-04-28 00:00:00,4000036703,10,2022-06-03,1,2022-04-29,100,2022-04-28,2022-06-03
,2022-05-05 00:00:00,4000036704,10,2022-06-10,1,2022-05-06,100,2022-05-05,2022-06-10
,2022-03-30 00:00:00,4000036705,10,2022-05-12,1,2022-03-30,100,2022-03-30,2022-05-12
,2022-04-22 00:00:00,4000036706,10,2022-04-23,1,2022-04-22,100,2022-04-22,2022-04-23
,2022-04-08 00:00:00,4000036707,10,2022-04-24,1,2022-04-08,100,2022-04-08,2022-04-24
,2022-06-08 00:00:00,4000036708,10,2022-06-16,1,2022-06-09,100,2022-06-08,2022-06-16
,2022-06-08 00:00:00,4000036708,20,2022-06-16,1,2022-06-09,100,2022-06-08,2022-06-16
,2022-04-21 00:00:00,4000036709,10,2022-06-17,1,2022-04-21,100,2022-04-21,2022-06-17
,2022-06-02 00:00:00,4000036710,10,2022-08-11,1,2022-06-29,100,2022-06-29,2022-08-11
,2022-05-02 00:00:00,4000036711,10,2022-06-15,1,2022-05-02,100,2022-05-02,2022-06-15
,2022-04-06 00:00:00,4000036712,10,2022-05-09,1,2022-04-06,100,2022-04-06,2022-05-09
,2022-04-05 00:00:00,4000036713,10,2022-05-28,1,2022-05-27,100,2022-05-27,2022-05-28
,2022-07-28 00:00:00,4000036714,10,2022-09-23,1,2022-07-28,100,2022-07-28,2022-09-23
,2022-08-05 00:00:00,4000036715,10,2022-10-02,1,2022-08-05,100,2022-08-05,2022-10-02
,2022-08-08 00:00:00,4000036716,10,2022-10-04,1,2022-08-08,100,2022-08-08,2022-10-04
,2022-05-12 00:00:00,4000036717,10,2022-06-18,1,2022-05-12,100,2022-05-12,2022-06-10
,2022-04-28 00:00:00,4000036718,10,2022-06-24,1,2022-04-28,100,2022-04-28,2022-06-13
,2022-03-31 00:00:00,4000036719,10,2022-04-30,1,2022-03-31,100,2022-03-31,2020-01-26
,2022-03-31 00:00:00,4000036719,20,2022-04-30,1,2022-03-31,100,2022-03-31,2022-04-30
,9999-12-31 00:00:00,4000036720,10,2022-05-26,1,2022-04-14,100,2022-04-13,2022-05-26
,2022-04-13 00:00:00,4000036721,10,2022-05-27,1,2022-04-14,100,2022-04-13,2022-05-27
,2022-04-12 00:00:00,4000036721,20,2022-05-27,1,2022-04-13,100,2022-04-12,2022-05-27
,2022-04-12 00:00:00,4000036721,30,2022-05-27,1,2022-04-13,100,2022-04-12,2022-05-27
,2022-06-15 00:00:00,4000036721,40,2022-06-16,1,2022-06-15,100,2022-06-15,2022-06-16
,2022-05-06 00:00:00,4000036722,10,2022-06-06,1,2022-05-06,100,2022-05-06,2022-06-06
,2022-05-12 00:00:00,4000036723,10,2022-06-10,1,2022-06-08,100,2022-06-08,2022-06-10
,9999-12-31 00:00:00,4000036724,10,2022-06-11,1,2022-05-06,100,2022-05-06,2022-06-11
,2022-04-13 00:00:00,4000036725,10,2022-05-12,1,2022-04-20,100,2022-04-20,2022-05-12
,2022-04-15 00:00:00,4000036726,10,2022-05-11,1,2022-04-20,100,2022-04-20,2022-05-11
,2022-04-15 00:00:00,4000036727,10,2022-05-11,1,2022-04-20,100,2022-04-20,2022-05-11
,2022-04-22 00:00:00,4000036728,10,2022-05-25,1,2022-04-27,100,2022-04-27,2022-05-25
,2022-04-22 00:00:00,4000036729,10,2022-05-25,1,2022-04-27,100,2022-04-27,2022-05-25
,2022-04-22 00:00:00,4000036730,10,2022-05-25,1,2022-04-27,100,2022-04-27,2022-05-25
,2022-04-22 00:00:00,4000036731,10,2022-05-25,1,2022-04-27,100,2022-04-27,2022-05-25
,2022-04-01 00:00:00,4000036732,10,2022-05-03,1,2022-04-20,100,2022-04-20,2022-05-03
,2022-04-13 00:00:00,4000036733,10,2022-05-12,1,2022-04-13,100,2022-04-13,2022-05-12
,2022-04-13 00:00:00,4000036734,10,2022-05-25,1,2022-04-26,100,2022-04-26,2022-05-25
,2022-04-22 00:00:00,4000036735,10,2022-05-25,1,2022-04-26,100,2022-04-26,2022-05-25
,2022-04-01 00:00:00,4000036736,10,2022-05-03,1,2022-04-20,100,2022-04-20,2022-05-03
,2022-04-13 00:00:00,4000036737,10,2022-05-12,1,2022-04-13,100,2022-04-13,2022-05-12
,2022-04-15 00:00:00,4000036738,10,2022-05-12,1,2022-04-13,100,2022-04-13,2022-05-12
,2022-04-22 00:00:00,4000036739,10,2022-05-25,1,2022-04-26,100,2022-04-26,2022-05-25
,2022-04-22 00:00:00,4000036740,10,2022-05-25,1,2022-04-26,100,2022-04-26,2022-05-25
,2022-04-22 00:00:00,4000036741,10,2022-05-25,1,2022-04-26,100,2022-04-26,2022-05-25
,2022-05-02 00:00:00,4000036742,10,2022-05-31,1,2022-05-02,100,2022-05-02,2022-05-31
,2022-03-28 00:00:00,4000036743,10,2022-05-09,1,2022-03-29,100,2022-03-28,2022-05-09
,2022-04-25 00:00:00,4000036743,20,2022-05-09,1,2022-05-06,100,2022-05-06,2022-05-09
,2022-04-25 00:00:00,4000036743,30,2022-04-26,1,2022-04-25,100,2022-04-25,2022-04-26
,2022-03-28 00:00:00,4000036743,40,2022-05-09,1,2022-03-29,100,2022-03-28,2022-05-09
,2022-05-04 00:00:00,4000036744,10,2022-06-15,1,2022-05-05,100,2022-05-04,2022-06-15
,2022-06-24 00:00:00,4000036744,20,2022-06-27,1,2022-06-24,100,2022-06-24,2022-06-27
,2022-05-04 00:00:00,4000036744,30,2022-06-15,1,2022-05-05,100,2022-05-04,2022-06-15
,2022-05-03 00:00:00,4000036744,40,2022-06-15,1,2022-05-04,100,2022-05-03,2022-06-15
,2022-04-29 00:00:00,4000036745,10,2022-06-25,1,2022-04-29,100,2022-04-29,2022-06-25
,2022-05-31 00:00:00,4000036746,10,2022-06-01,1,2022-05-31,100,2022-05-31,2022-06-01
,2022-05-25 00:00:00,4000036747,10,2022-06-10,1,2022-05-25,100,2022-05-25,2022-06-10
,2022-05-02 00:00:00,4000036748,10,2022-05-31,1,2022-05-02,100,2022-05-02,2022-05-31
,2022-05-02 00:00:00,4000036749,10,2022-05-31,1,2022-05-02,100,2022-05-02,2022-05-31
,2022-04-14 00:00:00,4000036750,10,2022-05-26,1,2022-05-13,100,2022-05-13,2022-05-26
,2022-04-15 00:00:00,4000036751,10,2022-05-26,1,2022-05-13,100,2022-05-13,2022-05-26
,2022-04-15 00:00:00,4000036752,10,2022-05-26,1,2022-05-13,100,2022-05-13,2022-05-26
,2022-04-15 00:00:00,4000036753,10,2022-05-26,1,2022-05-13,100,2022-05-13,2022-05-26
,2022-03-28 00:00:00,4000036754,10,2022-05-03,1,2022-05-16,100,2022-05-16,2022-05-03
,2022-04-13 00:00:00,4000036755,10,2022-05-12,1,2022-04-13,100,2022-04-13,2022-05-12
,2022-04-13 00:00:00,4000036756,10,2022-05-26,1,2022-05-13,100,2022-05-13,2022-05-26
,2022-04-13 00:00:00,4000036757,10,2022-05-26,1,2022-05-13,100,2022-05-13,2022-05-26
,2022-04-13 00:00:00,4000036758,10,2022-05-12,1,2022-04-13,100,2022-04-13,2022-05-12
,2022-03-28 00:00:00,4000036759,10,2022-05-04,1,2022-05-16,100,2022-05-16,2022-05-04
,2022-03-28 00:00:00,4000036760,10,2022-05-03,1,2022-05-16,100,2022-05-16,2022-05-03
,9999-12-31 00:00:00,4000036761,10,2022-03-19,1,2022-03-14,100,2022-03-14,2022-03-19
,2022-04-19 00:00:00,4000036762,10,2022-05-11,1,2022-04-20,100,2022-04-20,2022-05-11
,2022-05-02 00:00:00,4000036763,10,2022-05-31,1,2022-05-02,100,2022-05-02,2022-05-31
,2022-05-02 00:00:00,4000036764,10,2022-05-31,1,2022-05-02,100,2022-05-02,2022-05-31
,2022-05-02 00:00:00,4000036765,10,2022-05-31,1,2022-05-02,100,2022-05-02,2022-05-31
,2022-03-25 00:00:00,4000036766,10,2022-04-06,1,2022-03-25,100,2022-03-25,2022-04-06
,2022-03-25 00:00:00,4000036767,10,2022-04-06,1,2022-03-25,100,2022-03-25,2022-04-06
,2022-04-01 00:00:00,4000036768,10,2022-04-13,1,2022-04-01,100,2022-04-01,2022-04-13
,2022-04-01 00:00:00,4000036769,10,2022-04-13,1,2022-04-01,100,2022-04-01,2022-04-13
,2022-03-25 00:00:00,4000036770,10,2022-04-06,1,2022-03-25,100,2022-03-25,2022-04-06
,2022-03-24 00:00:00,4000036771,10,2022-04-03,1,2022-03-24,100,2022-03-24,2022-04-03
,2022-03-24 00:00:00,4000036772,10,2022-04-03,1,2022-03-24,100,2022-03-24,2022-04-03
,2022-03-31 00:00:00,4000036773,10,2022-04-10,1,2022-03-31,100,2022-03-31,2022-04-10
,2022-03-31 00:00:00,4000036774,10,2022-04-10,1,2022-03-31,100,2022-03-31,2022-04-10
,2022-04-05 00:00:00,4000036775,10,2022-04-15,1,2022-04-05,100,2022-04-05,2022-04-15
,2022-04-05 00:00:00,4000036776,10,2022-04-15,1,2022-04-05,100,2022-04-05,2022-04-15
,2022-03-23 00:00:00,4000036777,10,2022-04-28,1,2022-03-23,100,2022-03-23,2022-04-28
,2022-03-23 00:00:00,4000036777,20,2022-04-28,1,2022-03-23,100,2022-03-23,2022-04-28
,2022-03-24 00:00:00,4000036778,10,2022-06-02,1,2022-03-25,100,2022-03-24,2022-06-02
,2022-03-24 00:00:00,4000036778,20,2022-06-02,1,2022-03-25,100,2022-03-24,2022-06-02
,2022-03-24 00:00:00,4000036779,10,2022-06-02,1,2022-03-25,100,2022-03-24,2022-06-02
,2022-03-24 00:00:00,4000036779,20,2022-06-02,1,2022-03-25,100,2022-03-24,2022-06-02
,2022-03-30 00:00:00,4000036780,10,2022-06-08,1,2022-03-31,100,2022-03-30,2022-06-08
,2022-03-30 00:00:00,4000036780,20,2022-06-08,1,2022-03-31,100,2022-03-30,2022-06-08
,2022-03-30 00:00:00,4000036781,10,2022-06-08,1,2022-03-31,100,2022-03-30,2022-06-08
,2022-03-30 00:00:00,4000036781,20,2022-06-08,1,2022-03-31,100,2022-03-30,2022-06-08
,2022-04-08 00:00:00,4000036782,10,2022-04-19,1,2022-04-08,100,2022-04-08,2022-04-19
,2022-04-08 00:00:00,4000036783,10,2022-04-19,1,2022-04-08,100,2022-04-08,2022-04-19
,2022-04-12 00:00:00,4000036784,10,2022-04-22,1,2022-04-12,100,2022-04-12,2022-04-22
,2022-04-15 00:00:00,4000036785,10,2022-04-26,1,2022-04-15,100,2022-04-15,2022-04-26
,2022-04-19 00:00:00,4000036786,10,2022-06-15,2,2022-04-19,100,2022-04-19,2022-06-15
,2022-04-19 00:00:00,4000036786,20,2022-06-15,1,2022-04-19,100,2022-04-19,2022-06-15
,2022-05-04 00:00:00,4000036787,10,2022-06-30,1,2022-05-04,100,2022-05-04,2022-06-30
,2022-05-04 00:00:00,4000036787,20,2022-06-30,1,2022-05-04,100,2022-05-04,2022-06-30
,2022-05-19 00:00:00,4000036788,10,2022-07-15,1,2022-05-19,100,2022-05-19,2022-07-15
,2022-05-19 00:00:00,4000036788,20,2022-07-15,1,2022-05-19,100,2022-05-19,2022-07-15
,2022-05-04 00:00:00,4000036789,10,2022-05-15,1,2022-05-04,100,2022-05-04,2022-05-15
,2022-05-04 00:00:00,4000036789,20,2022-05-15,1,2022-05-04,100,2022-05-04,2022-05-15
,2022-05-04 00:00:00,4000036789,30,2022-05-15,1,2022-05-04,100,2022-05-04,2022-05-15
,2022-05-27 00:00:00,4000036790,10,2022-06-07,1,2022-05-27,100,2022-05-27,2022-06-07
,2022-05-27 00:00:00,4000036790,20,2022-06-07,1,2022-05-27,100,2022-05-27,2022-06-07
,2022-05-27 00:00:00,4000036790,30,2022-06-07,1,2022-05-27,100,2022-05-27,2022-06-07
,2022-04-14 00:00:00,4000036791,10,2022-04-21,1,2022-04-14,100,2022-04-14,2022-04-21
,2022-04-08 00:00:00,4000036791,20,2022-04-21,1,2022-04-15,100,2022-04-15,2022-04-21
,2022-05-06 00:00:00,4000036792,10,2022-05-19,1,2022-05-06,100,2022-05-06,2022-05-19
,2022-05-06 00:00:00,4000036792,20,2022-05-19,1,2022-05-06,100,2022-05-06,2022-05-19
,2022-04-21 00:00:00,4000036793,10,2022-06-17,1,2022-04-21,100,2022-04-21,2022-06-01
,2022-05-20 00:00:00,4000036794,10,2022-06-02,1,2022-05-20,100,2022-05-20,2022-06-02
,2022-05-20 00:00:00,4000036794,20,2022-06-02,1,2022-05-20,100,2022-05-20,2022-06-02
,2022-04-21 00:00:00,4000036795,10,2022-06-17,1,2022-04-21,100,2022-04-21,2022-06-07
,2022-06-10 00:00:00,4000036796,10,2022-06-23,1,2022-06-10,100,2022-06-10,2022-06-23
,2022-06-10 00:00:00,4000036796,20,2022-06-23,1,2022-06-10,100,2022-06-10,2022-06-23
,2022-04-08 00:00:00,4000036797,10,2022-06-05,1,2022-04-08,100,2022-04-08,2022-06-05
,2022-03-18 00:00:00,4000036798,10,2022-03-23,1,2022-03-20,100,2022-03-18,2022-03-23
,2022-03-17 00:00:00,4000036799,10,2022-05-05,1,2022-03-17,100,2022-03-17,2022-05-05
,,4000036800,10,2022-07-04,1,,100,,2022-07-04
,,4000036800,20,2022-07-04,1,,100,,2022-07-04
,2022-03-30 00:00:00,4000036801,10,2022-04-16,1,2022-04-04,100,2022-04-04,2022-04-16
,2022-05-30 00:00:00,4000036802,10,2022-06-15,1,2022-05-30,100,2022-05-30,2022-06-15
,9999-12-31 00:00:00,4000036803,10,2022-09-15,1,2022-08-30,100,2022-08-30,2022-09-15
,2022-06-01 00:00:00,4000036804,10,2022-07-07,1,2022-06-01,100,2022-06-01,2022-07-07
,9999-12-31 00:00:00,4000036805,10,2022-12-15,1,2022-11-29,100,2022-11-29,2022-12-15
,2022-03-28 00:00:00,4000036806,10,2022-04-29,1,2022-03-28,100,2022-03-28,2022-04-29
,2022-07-03 00:00:00,4000036807,10,2022-08-08,1,2022-07-03,100,2022-07-03,2022-08-08
,2022-06-20 00:00:00,4000036808,10,2022-07-08,1,2022-06-02,100,2022-06-02,2022-07-08
,2022-07-10 00:00:00,4000036809,10,2022-08-15,1,2022-07-10,100,2022-07-10,2022-08-15
,2022-08-01 00:00:00,4000036810,10,2022-09-06,1,2022-08-01,100,2022-08-01,2022-09-06
,2022-09-01 00:00:00,4000036811,10,2022-10-07,1,2022-09-01,100,2022-09-01,2022-10-07
,2022-05-09 00:00:00,4000036812,10,2022-07-05,1,2022-05-09,100,2022-05-09,2022-07-05
,2022-05-09 00:00:00,4000036812,20,2022-07-05,1,2022-05-09,100,2022-05-09,2022-07-05
,2022-03-22 00:00:00,4000036813,10,2022-04-05,1,2022-03-23,100,2022-03-22,2022-04-05
,2022-03-30 00:00:00,4000036814,10,2022-05-13,1,2022-03-31,100,2022-03-30,2022-05-13
,2022-05-19 00:00:00,4000036815,10,2022-07-28,1,2022-06-01,100,2022-06-01,2021-11-01
,2022-05-02 00:00:00,4000036816,10,2022-05-10,1,2022-05-02,100,2022-05-02,2022-05-10
,2022-05-02 00:00:00,4000036816,20,2022-05-10,1,2022-05-02,100,2022-05-02,2022-05-10
,2022-05-11 00:00:00,4000036817,10,2022-07-07,1,2022-05-11,100,2022-05-11,2022-07-07
,2022-05-11 00:00:00,4000036817,20,2022-07-07,1,2022-05-11,100,2022-05-11,2022-07-07
,2022-05-13 00:00:00,4000036818,10,2022-07-09,1,2022-05-13,100,2022-05-13,2022-07-09
,2022-05-13 00:00:00,4000036818,20,2022-07-09,1,2022-05-13,100,2022-05-13,2022-07-09
