Client,Account Number of Vendor or Creditor,Company Code,Key date of the last interest calculation,Validity Date for Withholding Tax Exemption Certificate,Certification date,Date on which the Record Was Created,Date of the last interest calculation run
100,Vendor2409,CompanyCode7,,,,2018-11-28,
100,Vendor2409,CompanyCode8,,,,2018-11-28,
100,Vendor2409,CompanyCode9,,,,2019-12-04,
100,Vendor2409,CompanyCode10,,,,2019-12-04,
100,Vendor2409,CompanyCode11,,,,2019-02-27,
100,Vendor2409,CompanyCode19,,,,2019-10-09,
100,Vendor2410,CompanyCode8,,,,2018-11-28,
100,Vendor143,CompanyCode21,,,,2018-11-28,
100,Vendor144,CompanyCode20,,,,2019-05-30,
100,Vendor144,CompanyCode21,,,,2018-11-28,
100,Vendor145,CompanyCode21,,,,2018-11-28,
100,Vendor146,CompanyCode21,,,,2018-11-28,
100,Vendor147,CompanyCode14,,,,2019-02-27,
100,Vendor148,CompanyCode21,,,,2018-11-28,
100,Vendor149,CompanyCode21,,,,2018-11-28,
100,Vendor150,CompanyCode21,,,,2018-11-28,
100,Vendor151,CompanyCode21,,,,2018-11-28,
100,Vendor152,CompanyCode21,,,,2018-11-28,
100,Vendor153,CompanyCode21,,,,2018-11-28,
100,Vendor154,CompanyCode20,,,,2019-05-30,
100,Vendor155,CompanyCode21,,,,2018-11-28,
100,Vendor156,CompanyCode21,,,,2018-11-28,
100,Vendor157,CompanyCode21,,,,2018-11-28,
100,Vendor158,CompanyCode21,,,,2018-11-28,
100,Vendor159,CompanyCode21,,,,2018-11-28,
100,Vendor160,CompanyCode21,,,,2018-11-28,
100,Vendor161,CompanyCode21,,,,2018-11-28,
100,Vendor162,CompanyCode21,,,,2018-11-28,
100,Vendor163,CompanyCode21,,,,2018-11-28,
100,Vendor164,CompanyCode21,,,,2018-11-28,
100,Vendor165,CompanyCode21,,,,2018-11-28,
100,Vendor166,CompanyCode21,,,,2018-11-28,
100,Vendor167,CompanyCode21,,,,2018-11-28,
100,Vendor168,CompanyCode21,,,,2018-11-28,
100,Vendor169,CompanyCode21,,,,2018-11-28,
100,Vendor170,CompanyCode21,,,,2018-11-28,
100,Vendor171,CompanyCode21,,,,2018-11-28,
100,Vendor172,CompanyCode21,,,,2018-11-28,
100,Vendor173,CompanyCode20,,,,2020-12-01,
100,Vendor174,CompanyCode21,,,,2018-11-28,
100,Vendor175,CompanyCode21,,,,2018-11-28,
100,Vendor3340,CompanyCode21,,,,2018-11-28,
100,Vendor3341,CompanyCode21,,,,2018-11-28,
100,Vendor3342,CompanyCode21,,,,2018-11-28,
100,Vendor3343,CompanyCode21,,,,2018-11-28,
100,Vendor3344,CompanyCode21,,,,2018-11-28,
100,Vendor3345,CompanyCode21,,,,2018-11-28,
100,Vendor3346,CompanyCode21,,,,2018-11-28,
100,Vendor3347,CompanyCode21,,,,2018-11-28,
100,Vendor3348,CompanyCode21,,,,2018-11-28,
100,Vendor3349,CompanyCode21,,,,2018-11-28,
100,Vendor3350,CompanyCode21,,,,2018-11-28,
100,Vendor3351,CompanyCode21,,,,2018-11-28,
100,Vendor3352,CompanyCode20,,,,2022-02-23,
100,Vendor3353,CompanyCode21,,,,2018-11-28,
100,Vendor3354,CompanyCode21,,,,2018-11-28,
100,Vendor3355,CompanyCode21,,,,2018-11-28,
100,Vendor3356,CompanyCode21,,,,2018-11-28,
100,Vendor3357,CompanyCode20,,,,2021-05-03,
100,Vendor3357,CompanyCode21,,,,2018-11-28,
100,Vendor3358,CompanyCode21,,,,2018-11-28,
100,Vendor3359,CompanyCode21,,,,2018-11-28,
100,Vendor3360,CompanyCode21,,,,2018-11-28,
100,Vendor3361,CompanyCode21,,,,2018-11-28,
100,Vendor3362,CompanyCode21,,,,2018-11-28,
100,Vendor3363,CompanyCode21,,,,2018-11-28,
100,Vendor3364,CompanyCode20,,,,2022-01-13,
100,Vendor3365,CompanyCode20,,,,2020-05-04,
100,Vendor3366,CompanyCode20,,,,2022-02-23,
100,Vendor3366,CompanyCode21,,,,2018-11-28,
100,Vendor3367,CompanyCode21,,,,2018-11-28,
100,Vendor3368,CompanyCode21,,,,2018-11-28,
100,Vendor3369,CompanyCode21,,,,2018-11-28,
100,Vendor3370,CompanyCode20,,,,2019-05-30,
100,Vendor3371,CompanyCode21,,,,2018-11-28,
100,Vendor3372,CompanyCode21,,,,2018-11-28,
100,Vendor3373,CompanyCode20,,,,2019-11-27,
100,Vendor3374,CompanyCode21,,,,2018-11-28,
100,Vendor3375,CompanyCode21,,,,2018-11-28,
100,Vendor3376,CompanyCode21,,,,2018-11-28,
100,Vendor3377,CompanyCode21,,,,2018-11-28,
100,Vendor3378,CompanyCode21,,,,2018-11-28,
100,Vendor3379,CompanyCode21,,,,2018-11-28,
100,Vendor3380,CompanyCode21,,,,2018-11-28,
100,Vendor3381,CompanyCode21,,,,2018-11-28,
100,Vendor3382,CompanyCode21,,,,2018-11-28,
100,Vendor3383,CompanyCode21,,,,2018-11-28,
100,Vendor3384,CompanyCode20,,,,2020-08-13,
100,Vendor3384,CompanyCode21,,,,2018-11-28,
100,Vendor3385,CompanyCode21,,,,2018-11-28,
100,Vendor3386,CompanyCode21,,,,2018-11-28,
100,Vendor3387,CompanyCode21,,,,2018-11-28,
100,Vendor3388,CompanyCode21,,,,2018-11-28,
100,Vendor2411,CompanyCode21,,,,2018-11-28,
100,Vendor2412,CompanyCode21,,,,2018-11-28,
100,Vendor2413,CompanyCode21,,,,2018-11-28,
100,Vendor2414,CompanyCode21,,,,2018-11-28,
100,Vendor2415,CompanyCode21,,,,2018-11-28,
100,Vendor2416,CompanyCode21,,,,2018-11-28,
100,Vendor2417,CompanyCode21,,,,2018-11-28,
100,Vendor2418,CompanyCode21,,,,2018-11-28,
100,Vendor2419,CompanyCode21,,,,2018-11-28,
100,Vendor2420,CompanyCode21,,,,2018-11-28,
100,Vendor2421,CompanyCode21,,,,2018-11-28,
100,Vendor2422,CompanyCode21,,,,2018-11-28,
100,Vendor2423,CompanyCode20,,,,2020-03-26,
100,Vendor2424,CompanyCode21,,,,2018-11-28,
100,Vendor1319,CompanyCode4,,,,2022-03-15,
100,Vendor1320,CompanyCode21,,,,2021-03-02,
100,Vendor1321,CompanyCode19,,,,2019-02-27,
100,Vendor1321,CompanyCode27,,,,2019-12-04,
100,Vendor1322,CompanyCode14,,,,2019-02-27,
100,Vendor1323,CompanyCode16,,,,2019-12-04,
100,Vendor1324,CompanyCode16,,,,2019-12-04,
100,Vendor1324,CompanyCode17,,,,2022-01-29,
100,Vendor1324,CompanyCode19,,,,2020-07-31,
100,Vendor1324,CompanyCode20,,,,2019-12-04,
100,Vendor1325,CompanyCode20,,,,2019-05-30,
100,Vendor1326,CompanyCode1,,,,2019-02-27,
100,Vendor1327,CompanyCode1,,,,2019-02-27,
100,Vendor1327,CompanyCode2,,,,2020-11-23,
100,Vendor1328,CompanyCode1,,,,2019-02-27,
100,Vendor1329,CompanyCode1,,,,2019-02-27,
100,Vendor1330,CompanyCode2,,,,2020-11-23,
100,Vendor1331,CompanyCode1,,,,2019-02-27,
100,Vendor1331,CompanyCode2,,,,2020-11-23,
100,Vendor1332,CompanyCode1,,,,2019-02-27,
100,Vendor1333,CompanyCode1,,,,2019-02-27,
100,Vendor1334,CompanyCode20,,,,2019-05-30,
100,Vendor1335,CompanyCode1,,,,2019-02-27,
100,Vendor1336,CompanyCode1,,,,2019-02-27,
100,Vendor1337,CompanyCode1,,,,2019-02-27,
100,Vendor1337,CompanyCode2,,,,2020-11-23,
100,Vendor1338,CompanyCode1,,,,2019-02-27,
100,Vendor1338,CompanyCode2,,,,2020-11-23,
100,Vendor1339,CompanyCode1,,,,2019-02-27,
100,Vendor1339,CompanyCode2,,,,2020-11-23,
100,Vendor1340,CompanyCode1,,,,2019-02-27,
100,Vendor1340,CompanyCode2,,,,2020-11-23,
100,Vendor1341,CompanyCode1,,,,2019-02-27,
100,Vendor1341,CompanyCode2,,,,2020-11-23,
100,Vendor1342,CompanyCode1,,,,2019-02-27,
100,Vendor1343,CompanyCode1,,,,2019-02-27,
100,Vendor1344,CompanyCode2,,,,2020-11-23,
100,Vendor1345,CompanyCode2,,,,2020-11-23,
100,Vendor1346,CompanyCode1,,,,2019-02-27,
100,Vendor1346,CompanyCode2,,,,2020-11-23,
100,Vendor1347,CompanyCode2,,,,2020-11-23,
100,Vendor1348,CompanyCode1,,,,2019-02-27,
100,Vendor1348,CompanyCode2,,,,2020-11-23,
100,Vendor1349,CompanyCode2,,,,2020-11-23,
100,Vendor1350,CompanyCode2,,,,2020-11-23,
100,Vendor1351,CompanyCode1,,,,2019-02-27,
100,Vendor1351,CompanyCode2,,,,2020-11-23,
100,Vendor1352,CompanyCode1,,,,2019-02-27,
100,Vendor1353,CompanyCode1,,,,2019-02-27,
100,Vendor1354,CompanyCode1,,,,2019-02-27,
100,Vendor1354,CompanyCode2,,,,2020-11-23,
100,Vendor1355,CompanyCode1,,,,2019-02-27,
