Client,Account Number of Vendor or Creditor,Date on which the Record Was Created
100,Vendor1,2018-11-28
100,Vendor2,2018-11-28
100,Vendor3,2018-11-28
100,Vendor4,2018-11-28
100,Vendor5,2018-11-28
100,Vendor6,2018-11-28
100,Vendor7,2018-11-28
100,Vendor8,2018-11-28
100,Vendor9,2018-11-28
100,Vendor10,2018-11-28
100,Vendor11,2018-11-28
100,Vendor12,2018-11-28
100,Vendor13,2018-11-28
100,Vendor14,2018-11-28
100,Vendor15,2018-11-28
100,Vendor16,2018-11-28
100,Vendor17,2018-11-28
100,Vendor18,2018-11-28
100,Vendor19,2018-11-28
100,Vendor20,2018-11-28
100,Vendor21,2018-11-28
100,Vendor22,2018-11-28
100,Vendor23,2018-11-28
100,Vendor24,2018-11-28
100,Vendor25,2018-11-28
100,Vendor26,2018-11-28
100,Vendor27,2018-11-28
100,Vendor28,2018-11-28
100,Vendor29,2018-11-28
100,Vendor30,2018-11-28
100,Vendor31,2018-11-28
100,Vendor32,2018-11-28
100,Vendor33,2018-11-28
100,Vendor34,2018-11-28
100,Vendor35,2018-11-28
100,Vendor36,2018-11-28
100,Vendor37,2018-11-28
100,Vendor38,2018-11-28
100,Vendor39,2018-11-28
100,Vendor40,2018-11-28
100,Vendor41,2018-11-28
100,Vendor42,2018-11-28
100,Vendor43,2018-11-28
100,Vendor44,2018-11-28
100,Vendor45,2018-11-28
100,Vendor46,2018-11-28
100,Vendor47,2018-11-28
100,Vendor48,2018-11-28
100,Vendor49,2018-11-28
100,Vendor50,2018-11-28
100,Vendor51,2018-11-28
100,Vendor52,2018-11-28
100,Vendor53,2018-11-28
100,Vendor54,2018-11-28
100,Vendor55,2018-11-28
100,Vendor56,2018-11-28
100,Vendor57,2018-11-28
100,Vendor58,2018-11-28
100,Vendor59,2018-11-28
100,Vendor60,2018-11-28
100,Vendor61,2018-11-28
100,Vendor62,2018-11-28
100,Vendor63,2018-11-28
100,Vendor64,2018-11-28
100,Vendor65,2018-11-28
100,Vendor66,2018-11-28
100,Vendor67,2018-11-28
100,Vendor68,2018-11-28
100,Vendor69,2018-11-28
100,Vendor70,2018-11-28
100,Vendor71,2018-11-28
100,Vendor72,2018-11-28
100,Vendor73,2018-11-28
100,Vendor74,2018-11-28
100,Vendor75,2018-11-28
100,Vendor76,2018-11-28
100,Vendor77,2018-11-28
100,Vendor78,2018-11-28
100,Vendor79,2018-11-28
100,Vendor80,2018-11-28
100,Vendor81,2018-11-28
100,Vendor82,2018-11-28
100,Vendor83,2018-11-28
100,Vendor84,2018-11-28
100,Vendor85,2018-11-28
100,Vendor86,2018-11-28
100,Vendor87,2018-11-28
100,Vendor88,2018-11-28
100,Vendor89,2018-11-28
100,Vendor90,2018-11-28
100,Vendor91,2018-11-28
100,Vendor92,2018-11-28
100,Vendor93,2018-11-28
100,Vendor94,2018-11-28
100,Vendor95,2018-11-28
100,Vendor96,2018-11-28
100,Vendor97,2018-11-28
100,Vendor98,2018-11-28
