Client,Vendor Account Number,Purchasing Organization,Date on Which Record Was Created
100,Vendor1,Purchasing Organization5,2018-11-28
100,Vendor2,Purchasing Organization5,2018-11-28
100,Vendor3,Purchasing Organization1,2018-11-28
100,Vendor4,Purchasing Organization1,2018-11-28
100,Vendor5,Purchasing Organization1,2018-11-28
100,Vendor6,Purchasing Organization1,2018-11-28
100,Vendor7,Purchasing Organization1,2018-11-28
100,Vendor8,Purchasing Organization1,2018-11-28
100,Vendor8,Purchasing Organization3,2019-12-04
100,Vendor9,Purchasing Organization1,2018-11-28
100,Vendor10,Purchasing Organization1,2018-11-28
100,Vendor11,Purchasing Organization1,2018-11-28
100,Vendor12,Purchasing Organization1,2018-11-28
100,Vendor13,Purchasing Organization1,2018-11-28
100,Vendor14,Purchasing Organization1,2018-11-28
100,Vendor15,Purchasing Organization1,2018-11-28
100,Vendor16,Purchasing Organization1,2018-11-28
100,Vendor17,Purchasing Organization1,2018-11-28
100,Vendor18,Purchasing Organization1,2018-11-28
100,Vendor19,Purchasing Organization1,2018-11-28
100,Vendor20,Purchasing Organization1,2018-11-28
100,Vendor21,Purchasing Organization2,2018-11-28
100,Vendor21,Purchasing Organization1,2018-11-28
100,Vendor22,Purchasing Organization5,2018-11-28
100,Vendor23,Purchasing Organization1,2018-11-28
100,Vendor24,Purchasing Organization1,2018-11-28
100,Vendor25,Purchasing Organization1,2018-11-28
100,Vendor26,Purchasing Organization1,2018-11-28
100,Vendor27,Purchasing Organization2,2018-11-28
100,Vendor28,Purchasing Organization1,2019-05-30
100,Vendor28,Purchasing Organization5,2018-11-28
100,Vendor29,Purchasing Organization1,2018-11-28
100,Vendor30,Purchasing Organization1,2018-11-28
100,Vendor31,Purchasing Organization1,2018-11-28
100,Vendor32,Purchasing Organization1,2018-11-28
100,Vendor33,Purchasing Organization1,2018-11-28
100,Vendor34,Purchasing Organization2,2018-11-28
100,Vendor34,Purchasing Organization1,2018-11-28
100,Vendor35,Purchasing Organization1,2018-11-28
100,Vendor36,Purchasing Organization5,2018-11-28
100,Vendor37,Purchasing Organization1,2018-11-28
100,Vendor38,Purchasing Organization1,2018-11-28
100,Vendor39,Purchasing Organization1,2018-11-28
100,Vendor40,Purchasing Organization2,2018-11-28
100,Vendor41,Purchasing Organization1,2018-11-28
100,Vendor42,Purchasing Organization1,2018-11-28
100,Vendor42,Purchasing Organization3,2019-12-04
100,Vendor43,Purchasing Organization1,2018-11-28
100,Vendor44,Purchasing Organization1,2018-11-28
100,Vendor45,Purchasing Organization1,2018-11-28
100,Vendor45,Purchasing Organization3,2018-11-28
100,Vendor46,Purchasing Organization1,2018-11-28
